n,identifier,splitted_result
898,stripTrailingAsterisks,strip-trailing-asterisks
899,Subclassers,sub-classers
900,subclassers,sub-classers
901,Subclasses,sub-classes
902,subclasses,sub-classes
903,subclass,sub-class
904,submenus,sub-menus
905,substring,sub-string
906,taskName,task-name
907,TextColor,text-color
908,textColor,text-color
909,textDisplayBox,text-display-box
910,textExtent,text-extent
911,TextField,text-field
912,textFigureSerializedDataVersion,text-figure-serialized-data-version
913,TextFigure,text-figure
914,TextHolder,text-holder
915,textHolder,text-holder
916,textOwner,text-owner
917,TextTool,text-tool
918,toByteArray,to-byte-array
919,together,to-gether
920,toggleAnimation,toggle-animation
921,ToggleGridCommand,toggle-grid-command
922,toggleSelection,toggle-selection
923,toLowerCase,to-lower-case
924,ToolButton,tool-button
925,toolButton,tool-button
926,toolDone,tool-done
927,Toolkit,toolkit
928,toolkit,toolkit
929,toolName,tool-name
930,toolPanel,tool-panel
931,toString,to-string
932,trackConnectors,track-connectors
933,TriangleFigure,triangle-figure
934,TriangleRotationHandle,triangle-rotation-handle
935,unfreezeView,unfreeze-view
936,UngroupCommand,ungroup-command
937,updateConnection,update-connection
938,updateDurations,update-durations
939,updateLocation,update-location
940,updatePoints,update-points
941,UpdateStrategy,update-strategy
942,updateStrategy,update-strategy
943,urlstring,url-string
944,URLTool,url-tool
945,vadjust,v-adjust
946,valtype,value-type
947,waitForAll,wait-forall
948,WestHandle,west-handle
949,willChange,will-change
950,WindowAdapter,window-adapter
951,windowClosing,window-closing
952,WindowEvent,window-event
953,workaround,work-around
954,writeBoolean,write-boolean
955,writeColor,write-color
956,writeDouble,write-double
957,writeInt,write-int
958,writeObject,write-object
959,writeRef,write-ref
960,writeStorable,write-storable
961,writeString,write-string
962,writeTasks,write-tasks
963,xdiff,x-diff
964,xmax,x-max
965,xmin,x-min
966,xpoints,x-points
967,xSpeed,x-speed
968,xVelocity,x-velocity
969,ydiff,y-diff
970,ymax,y-max
971,ymin,y-min
972,ypoints,y-points
973,ySpeed,y-speed
974,yVelocity,y-velocity
